code,description
N321,Vesicointestinal fistula
N322,"Vesical fistula, not elsewhere classified"
N323,Diverticulum of bladder
N324,"Rupture of bladder, nontraumatic"
N328,Other specified disorders of bladder
N329,"Bladder disorder, unspecified"
N330,Tuberculous cystitis
N338,Bladder disorders in other diseases classified elsewhere
N340,Urethral abscess
N341,Nonspecific urethritis
N342,Other urethritis
N343,"Urethral syndrome, unspecified"
N350,Post-traumatic urethral stricture
N351,"Postinfective urethral stricture, not elsewhere classified"
N358,Other urethral stricture
N359,"Urethral stricture, unspecified"
N360,Urethral fistula
N361,Urethral diverticulum
N362,Urethral caruncle
N363,Prolapsed urethral mucosa
N368,Other specified disorders of urethra
N369,"Urethral disorder, unspecified"
N370,Urethritis in diseases classified elsewhere
N378,Other urethral disorders in diseases classified elsewhere
N390,"Urinary tract infection, site not specified"
N391,"Persistent proteinuria, unspecified"
N392,"Orthostatic proteinuria, unspecified"
N393,Stress incontinence
N394,Other specified urinary incontinence
N398,Other specified disorders of urinary system
N399,"Disorder of urinary system, unspecified"
N40X,Hyperplasia of prostate
N410,Acute prostatitis
N411,Chronic prostatitis
N412,Abscess of prostate
N413,Prostatocystitis
N418,Other inflammatory diseases of prostate
N419,"Inflammatory disease of prostate, unspecified"
N420,Calculus of prostate
N421,Congestion and haemorrhage of prostate
N422,Atrophy of prostate
N423,Dysplasia of prostate
N428,Other specified disorders of prostate
N429,"Disorder of prostate, unspecified"
N430,Encysted hydrocele
N431,Infected hydrocele
N432,Other hydrocele
N433,"Hydrocele, unspecified"
N434,Spermatocele
N44X,Torsion of testis
N450,"Orchitis, epididymitis and epididymo-orchitis with abscess"
N459,"Orchitis, epididymitis and epididymo-orchitis without abscess"
N46X,Male infertility
N47X,"Redundant prepuce, phimosis and paraphimosis"
N480,Leukoplakia of penis
N481,Balanoposthitis
N482,Other inflammatory disorders of penis
N483,Priapism
N484,Impotence of organic origin
N485,Ulcer of penis
N486,Induratio penis plastica
N488,Other specified disorders of penis
N489,"Disorder of penis, unspecified"
N490,Inflammatory disorders of seminal vesicle
N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens"
N492,Inflammatory disorders of scrotum
N498,Inflammatory disorders of other specified male genital organs
N499,Inflammatory disorder of unspecified male genital organ
N500,Atrophy of testis
N501,Vascular disorders of male genital organs
N508,Other specified disorders of male genital organs
N509,"Disorder of male genital organs, unspecified"
N510,Disorders of prostate in diseases classified elsewhere
N511,Disorders of testis and epididymis in diseases classified elsewhere
N512,Balanitis in diseases classified elsewhere
N518,Other disorders of male genital organs in diseases classified elsewhere
N600,Solitary cyst of breast
N601,Diffuse cystic mastopathy
N602,Fibroadenosis of breast
N603,Fibrosclerosis of breast
N604,Mammary duct ectasia
N608,Other benign mammary dysplasias
N609,"Benign mammary dysplasia, unspecified"
N61X,Inflammatory disorders of breast
N62X,Hypertrophy of breast
N63X,Unspecified lump in breast
N640,Fissure and fistula of nipple
N641,Fat necrosis of breast
N642,Atrophy of breast
N643,Galactorrhoea not associated with childbirth
N644,Mastodynia
N645,Other signs and symptoms in breast
N648,Other specified disorders of breast
N649,"Disorder of breast, unspecified"
N700,Acute salpingitis and oophoritis
N701,Chronic salpingitis and oophoritis
N709,"Salpingitis and oophoritis, unspecified"
N710,Acute inflammatory disease of uterus
N711,Chronic inflammatory disease of uterus
N719,"Inflammatory disease of uterus, unspecified"
N72X,Inflammatory disease of cervix uteri
N730,Acute parametritis and pelvic cellulitis
N731,Chronic parametritis and pelvic cellulitis
N732,Unspecified parametritis and pelvic cellulitis
N733,Female acute pelvic peritonitis
N734,Female chronic pelvic peritonitis
N735,"Female pelvic peritonitis, unspecified"
N736,Female pelvic peritoneal adhesions
N738,Other specified female pelvic inflammatory diseases
N739,"Female pelvic inflammatory disease, unspecified"
N740,Tuberculous infection of cervix uteri
N741,Female tuberculous pelvic inflammatory disease
N742,Female syphilitic pelvic inflammatory disease
N743,Female gonococcal pelvic inflammatory disease
N744,Female chlamydial pelvic inflammatory disease
N748,Female pelvic inflammatory disorders in other diseases classified elsewhere
N750,Cyst of Bartholin gland
N751,Abscess of Bartholin gland
N758,Other diseases of Bartholin gland
N759,"Disease of Bartholin gland, unspecified"
N760,Acute vaginitis
N761,Subacute and chronic vaginitis
N762,Acute vulvitis
N763,Subacute and chronic vulvitis
N764,Abscess of vulva
N765,Ulceration of vagina
N766,Ulceration of vulva
N768,Other specified inflammation of vagina and vulva
N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere
N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
N778,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
N800,Endometriosis of uterus
N801,Endometriosis of ovary
N802,Endometriosis of fallopian tube
N803,Endometriosis of pelvic peritoneum
N804,Endometriosis of rectovaginal septum and vagina
N805,Endometriosis of intestine
N806,Endometriosis in cutaneous scar
N808,Other endometriosis
N809,"Endometriosis, unspecified"
N810,Female urethrocele
N811,Cystocele
N812,Incomplete uterovaginal prolapse
N813,Complete uterovaginal prolapse
N814,"Uterovaginal prolapse, unspecified"
N815,Vaginal enterocele
N816,Rectocele
N818,Other female genital prolapse
N819,"Female genital prolapse, unspecified"
N820,Vesicovaginal fistula
N821,Other female urinary-genital tract fistulae
N822,Fistula of vagina to small intestine
N823,Fistula of vagina to large intestine
N824,Other female intestinal-genital tract fistulae
N825,Female genital tract-skin fistulae
N828,Other female genital tract fistulae
N829,"Female genital tract fistula, unspecified"
N830,Follicular cyst of ovary
N831,Corpus luteum cyst
N832,Other and unspecified ovarian cysts
N833,Acquired atrophy of ovary and fallopian tube
N834,Prolapse and hernia of ovary and fallopian tube
N835,"Torsion of ovary, ovarian pedicle and fallopian tube"
N836,Haematosalpinx
N837,Haematoma of broad ligament
N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
N840,Polyp of corpus uteri
N841,Polyp of cervix uteri
N842,Polyp of vagina
N843,Polyp of vulva
N848,Polyp of other parts of female genital tract
N849,"Polyp of female genital tract, unspecified"
N850,Endometrial glandular hyperplasia
N851,Endometrial adenomatous hyperplasia
N852,Hypertrophy of uterus
N853,Subinvolution of uterus
N854,Malposition of uterus
N855,Inversion of uterus
N856,Intrauterine synechiae
N857,Haematometra
N858,Other specified noninflammatory disorders of uterus
N859,"Noninflammatory disorder of uterus, unspecified"
N86X,Erosion and ectropion of cervix uteri
N870,Mild cervical dysplasia
N871,Moderate cervical dysplasia
N872,"Severe cervical dysplasia, not elsewhere classified"
N879,"Dysplasia of cervix uteri, unspecified"
N880,Leukoplakia of cervix uteri
N881,Old laceration of cervix uteri
N882,Stricture and stenosis of cervix uteri
N883,Incompetence of cervix uteri
N884,Hypertrophic elongation of cervix uteri
N888,Other specified noninflammatory disorders of cervix uteri
N889,"Noninflammatory disorder of cervix uteri, unspecified"
N890,Mild vaginal dysplasia
N891,Moderate vaginal dysplasia
N892,"Severe vaginal dysplasia, not elsewhere classified"
N893,"Dysplasia of vagina, unspecified"
N894,Leukoplakia of vagina
N895,Stricture and atresia of vagina
N896,Tight hymenal ring
N897,Haematocolpos
N898,Other specified noninflammatory disorders of vagina
N899,"Noninflammatory disorder of vagina, unspecified"
N900,Mild vulvar dysplasia
N901,Moderate vulvar dysplasia
N902,"Severe vulvar dysplasia, not elsewhere classified"
N903,"Dysplasia of vulva, unspecified"
N904,Leukoplakia of vulva
N905,Atrophy of vulva
N906,Hypertrophy of vulva
N907,Vulvar cyst
N908,Other specified noninflammatory disorders of vulva and perineum
N909,"Noninflammatory disorder of vulva and perineum, unspecified"
N910,Primary amenorrhoea
N911,Secondary amenorrhoea
N912,"Amenorrhoea, unspecified"
N913,Primary oligomenorrhoea
N914,Secondary oligomenorrhoea
N915,"Oligomenorrhoea, unspecified"
N920,Excessive and frequent menstruation with regular cycle
N921,Excessive and frequent menstruation with irregular cycle
N922,Excessive menstruation at puberty
N923,Ovulation bleeding
N924,Excessive bleeding in the premenopausal period
N925,Other specified irregular menstruation
N926,"Irregular menstruation, unspecified"
N930,Postcoital and contact bleeding
N938,Other specified abnormal uterine and vaginal bleeding
N939,"Abnormal uterine and vaginal bleeding, unspecified"
N940,Mittelschmerz
N941,Dyspareunia
N942,Vaginismus
N943,Premenstrual tension syndrome
N944,Primary dysmenorrhoea
N945,Secondary dysmenorrhoea
N946,"Dysmenorrhoea, unspecified"
N948,Other specified conditions associated with female genital organs and menstrual cycle
N949,Unspecified condition associated with female genital organs and menstrual cycle
N950,Postmenopausal bleeding
N951,Menopausal and female climacteric states
N952,Postmenopausal atrophic vaginitis
N953,States associated with artificial menopause
N958,Other specified menopausal and perimenopausal disorders
N959,"Menopausal and perimenopausal disorder, unspecified"
N96X,Habitual aborter
N970,Female infertility associated with anovulation
N971,Female infertility of tubal origin
N972,Female infertility of uterine origin
N973,Female infertility of cervical origin
N974,Female infertility associated with male factors
N978,Female infertility of other origin
N979,"Female infertility, unspecified"
N980,Infection associated with artificial insemination
N981,Hyperstimulation of ovaries
N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization
N983,Complications of attempted introduction of embryo in embryo transfer
N988,Other complications associated with artificial fertilization
N989,"Complication associated with artificial fertilization, unspecified"
N990,Postprocedural renal failure
N991,Postprocedural urethral stricture
N992,Postoperative adhesions of vagina
N993,Prolapse of vaginal vault after hysterectomy
N994,Postprocedural pelvic peritoneal adhesions
N995,Malfunction of external stoma of urinary tract
N998,Other postprocedural disorders of genitourinary system
N999,"Postprocedural disorder of genitourinary system, unspecified"
O000,Abdominal pregnancy
O001,Tubal pregnancy
O002,Ovarian pregnancy
O008,Other ectopic pregnancy
O009,"Ectopic pregnancy, unspecified"
O010,Classical hydatidiform mole
O011,Incomplete and partial hydatidiform mole
O019,"Hydatidiform mole, unspecified"
O020,Blighted ovum and nonhydatidiform mole
O021,Missed abortion
O028,Other specified abnormal products of conception
O029,"Abnormal product of conception, unspecified"
O030,"Spontaneous abortion: Incomplete, complicated by genital tract and pelvic infection"
O031,"Spontaneous abortion: Incomplete, complicated by delayed or excessive haemorrhage"
O032,"Spontaneous abortion: Incomplete, complicated by embolism"
O033,"Spontaneous abortion: Incomplete, with other and unspecified complications"
O034,"Spontaneous abortion: Incomplete, without complication"
O035,"Spontaneous abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
O036,"Spontaneous abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
O037,"Spontaneous abortion: Complete or unspecified, complicated by embolism"
O038,"Spontaneous abortion: Complete or unspecified, with other and unspecified complications"
O039,"Spontaneous abortion: Complete or unspecified, without complication"
O040,"Medical abortion: Incomplete, complicated by genital tract and pelvic infection"
O041,"Medical abortion: Incomplete, complicated by delayed or excessive haemorrhage"
O042,"Medical abortion: Incomplete, complicated by embolism"
O043,"Medical abortion: Incomplete, with other and unspecified complications"
O044,"Medical abortion: Incomplete, without complication"
O045,"Medical abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
O046,"Medical abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
O047,"Medical abortion: Complete or unspecified, complicated by embolism"
O048,"Medical abortion: Complete or unspecified, with other and unspecified complications"
O049,"Medical abortion: Complete or unspecified, without complication"
O050,"Other abortion: Incomplete, complicated by genital tract and pelvic infection"
O051,"Other abortion: Incomplete, complicated by delayed or excessive haemorrhage"
O052,"Other abortion: Incomplete, complicated by embolism"
O053,"Other abortion: Incomplete, with other and unspecified complications"
O054,"Other abortion: Incomplete, without complication"
O055,"Other abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
O056,"Other abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
O057,"Other abortion: Complete or unspecified, complicated by embolism"
O058,"Other abortion: Complete or unspecified, with other and unspecified complications"
O059,"Other abortion: Complete or unspecified, without complication"
O060,"Unspecified abortion: Incomplete, complicated by genital tract and pelvic infection"
O061,"Unspecified abortion: Incomplete, complicated by delayed or excessive haemorrhage"
O062,"Unspecified abortion: Incomplete, complicated by embolism"
O063,"Unspecified abortion: Incomplete, with other and unspecified complications"
O064,"Unspecified abortion: Incomplete, without complication"
O065,"Unspecified abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
O066,"Unspecified abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
O067,"Unspecified abortion: Complete or unspecified, complicated by embolism"
O068,"Unspecified abortion: Complete or unspecified, with other and unspecified complications"
O069,"Unspecified abortion: Complete or unspecified, without complication"
O070,"Failed medical abortion, complicated by genital tract and pelvic infection"
O071,"Failed medical abortion, complicated by delayed or excessive haemorrhage"
O072,"Failed medical abortion, complicated by embolism"
O073,"Failed medical abortion, with other and unspecified complications"
O074,"Failed medical abortion, without complication"
O075,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection"
O076,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage"
O077,"Other and unspecified failed attempted abortion, complicated by embolism"
O078,"Other and unspecified failed attempted abortion, with other and unspecified complications"
O079,"Other and unspecified failed attempted abortion, without complication"
O080,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy
O081,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy
O082,Embolism following abortion and ectopic and molar pregnancy
O083,Shock following abortion and ectopic and molar pregnancy
O084,Renal failure following abortion and ectopic and molar pregnancy
O085,Metabolic disorders following abortion and ectopic and molar pregnancy
O086,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy
O087,Other venous complications following abortion and ectopic and molar pregnancy
O088,Other complications following abortion and ectopic and molar pregnancy
O089,"Complication following abortion and ectopic and molar pregnancy, unspecified"
O100,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"
O101,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
O102,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium"
O103,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
O104,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium"
O109,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O11X,Pre-eclampsia superimposed on chronic hypertension
O120,Gestational oedema
O121,Gestational proteinuria
O122,Gestational oedema with proteinuria
O13X,Gestational [pregnancy-induced] hypertension
O140,Mild to moderate pre-eclampsia
O141,Severe pre-eclampsia
O142,HELLP syndrome
O149,"Pre-eclampsia, unspecified"
O150,Eclampsia in pregnancy
O151,Eclampsia in labour
O152,Eclampsia in the puerperium
O159,"Eclampsia, unspecified as to time period"
O16X,Unspecified maternal hypertension
O200,Threatened abortion
O208,Other haemorrhage in early pregnancy
O209,"Haemorrhage in early pregnancy, unspecified"
O210,Mild hyperemesis gravidarum
O211,Hyperemesis gravidarum with metabolic disturbance
O212,Late vomiting of pregnancy
O218,Other vomiting complicating pregnancy
O219,"Vomiting of pregnancy, unspecified"
O220,Varicose veins of lower extremity in pregnancy
O221,Genital varices in pregnancy
O222,Superficial thrombophlebitis in pregnancy
O223,Deep phlebothrombosis in pregnancy
O224,Haemorrhoids in pregnancy
O225,Cerebral venous thrombosis in pregnancy
O228,Other venous complications in pregnancy
O229,"Venous complication in pregnancy, unspecified"
O230,Infections of kidney in pregnancy
O231,Infections of bladder in pregnancy
O232,Infections of urethra in pregnancy
O233,Infections of other parts of urinary tract in pregnancy
O234,Unspecified infection of urinary tract in pregnancy
O235,Infections of the genital tract in pregnancy
O239,Other and unspecified genitourinary tract infection in pregnancy
O240,Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus
O241,Diabetes mellitus in pregnancy: Pre-existing type 2 diabetes mellitus
O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified"
O244,Diabetes mellitus arising in pregnancy
O249,"Diabetes mellitus in pregnancy, unspecified"
O25X,Malnutrition in pregnancy
O260,Excessive weight gain in pregnancy
O261,Low weight gain in pregnancy
O262,Pregnancy care of habitual aborter
O263,Retained intrauterine contraceptive device in pregnancy
O264,Herpes gestationis
O265,Maternal hypotension syndrome
O266,"Liver disorders in pregnancy, childbirth and the puerperium"
O267,"Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium"
O268,Other specified pregnancy-related conditions
O269,"Pregnancy-related condition, unspecified"
O280,Abnormal haematological finding on antenatal screening of mother
O281,Abnormal biochemical finding on antenatal screening of mother
O282,Abnormal cytological finding on antenatal screening of mother
O283,Abnormal ultrasonic finding on antenatal screening of mother
O284,Abnormal radiological finding on antenatal screening of mother
O285,Abnormal chromosomal and genetic finding on antenatal screening of mother
O288,Other abnormal findings on antenatal screening of mother
O289,"Abnormal finding on antenatal screening of mother, unspecified"
O290,Pulmonary complications of anaesthesia during pregnancy
O291,Cardiac complications of anaesthesia during pregnancy
O292,Central nervous system complications of anaesthesia during pregnancy
O293,Toxic reaction to local anaesthesia during pregnancy
O294,Spinal and epidural anaesthesia-induced headache during pregnancy
O295,Other complications of spinal and epidural anaesthesia during pregnancy
O296,Failed or difficult intubation during pregnancy
O298,Other complications of anaesthesia during pregnancy
O299,"Complication of anaesthesia during pregnancy, unspecified"
O300,Twin pregnancy
O301,Triplet pregnancy
O302,Quadruplet pregnancy
O308,Other multiple gestation
O309,"Multiple gestation, unspecified"
O310,Papyraceous fetus
O311,Continuing pregnancy after abortion of one fetus or more
O312,Continuing pregnancy after intrauterine death of one fetus or more
O318,Other complications specific to multiple gestation
O320,Maternal care for unstable lie
O321,Maternal care for breech presentation
O322,Maternal care for transverse and oblique lie
O323,"Maternal care for face, brow and chin presentation"
O324,Maternal care for high head at term
O325,Maternal care for multiple gestation with malpresentation of one fetus or more
O326,Maternal care for compound presentation
O328,Maternal care for other malpresentation of fetus
O329,"Maternal care for malpresentation of fetus, unspecified"
O330,Maternal care for disproportion due to deformity of maternal pelvic bones
O331,Maternal care for disproportion due to generally contracted pelvis
O332,Maternal care for disproportion due to inlet contraction of pelvis
O333,Maternal care for disproportion due to outlet contraction of pelvis
O334,Maternal care for disproportion of mixed maternal and fetal origin
O335,Maternal care for disproportion due to unusually large fetus
O336,Maternal care for disproportion due to hydrocephalic fetus
O337,Maternal care for disproportion due to other fetal deformities
O338,Maternal care for disproportion of other origin
O339,"Maternal care for disproportion, unspecified"
O340,Maternal care for congenital malformation of uterus
O341,Maternal care for tumour of corpus uteri
O342,Maternal care due to uterine scar from previous surgery
O343,Maternal care for cervical incompetence
O344,Maternal care for other abnormalities of cervix
O345,Maternal care for other abnormalities of gravid uterus
O346,Maternal care for abnormality of vagina
O347,Maternal care for abnormality of vulva and perineum
O348,Maternal care for other abnormalities of pelvic organs
O349,"Maternal care for abnormality of pelvic organ, unspecified"
O350,Maternal care for (suspected) central nervous system malformation in fetus
O351,Maternal care for (suspected) chromosomal abnormality in fetus
O352,Maternal care for (suspected) hereditary disease in fetus
O353,Maternal care for (suspected) damage to fetus from viral disease in mother
O354,Maternal care for (suspected) damage to fetus from alcohol
O355,Maternal care for (suspected) damage to fetus by drugs
O356,Maternal care for (suspected) damage to fetus by radiation
O357,Maternal care for (suspected) damage to fetus by other medical procedures
O358,Maternal care for other (suspected) fetal abnormality and damage
O359,"Maternal care for (suspected) fetal abnormality and damage, unspecified"
O360,Maternal care for rhesus isoimmunization
O361,Maternal care for other isoimmunization
O362,Maternal care for hydrops fetalis
O363,Maternal care for signs of fetal hypoxia
O364,Maternal care for intrauterine death
O365,Maternal care for poor fetal growth
O366,Maternal care for excessive fetal growth
O367,Maternal care for viable fetus in abdominal pregnancy
O368,Maternal care for other specified fetal problems
O369,"Maternal care for fetal problem, unspecified"
O40X,Polyhydramnios
O410,Oligohydramnios
O411,Infection of amniotic sac and membranes
O418,Other specified disorders of amniotic fluid and membranes
O419,"Disorder of amniotic fluid and membranes, unspecified"
O420,"Premature rupture of membranes, onset of labour within 24 hours"
O421,"Premature rupture of membranes, onset of labour after 24 hours"
O422,"Premature rupture of membranes, labour delayed by therapy"
O429,"Premature rupture of membranes, unspecified"
O430,Placental transfusion syndromes
O431,Malformation of placenta
O432,Morbidly adherent placenta
O438,Other placental disorders
O439,"Placental disorder, unspecified"
O440,Placenta praevia specified as without haemorrhage
O441,Placenta praevia with haemorrhage
O450,Premature separation of placenta with coagulation defect
O458,Other premature separation of placenta
O459,"Premature separation of placenta, unspecified"
O460,Antepartum haemorrhage with coagulation defect
O468,Other antepartum haemorrhage
O469,"Antepartum haemorrhage, unspecified"
O470,False labour before 37 completed weeks of gestation
O471,False labour at or after 37 completed weeks of gestation
O479,"False labour, unspecified"
O48X,Prolonged pregnancy
O600,Preterm labour without delivery
O601,Preterm spontaneous labour with preterm delivery
O602,Preterm spontaneous labour with term delivery
O603,Preterm delivery without spontaneous labour
O610,Failed medical induction of labour
O611,Failed instrumental induction of labour
O618,Other failed induction of labour
O619,"Failed induction of labour, unspecified"
O620,Primary inadequate contractions
O621,Secondary uterine inertia
O622,Other uterine inertia
O623,Precipitate labour
O624,"Hypertonic, incoordinate, and prolonged uterine contractions"
O628,Other abnormalities of forces of labour
O629,"Abnormality of forces of labour, unspecified"
O630,Prolonged first stage (of labour)
O631,Prolonged second stage (of labour)
O632,"Delayed delivery of second twin, triplet, etc."
O639,"Long labour, unspecified"
O640,Obstructed labour due to incomplete rotation of fetal head
O641,Obstructed labour due to breech presentation
O642,Obstructed labour due to face presentation
O643,Obstructed labour due to brow presentation
O644,Obstructed labour due to shoulder presentation
O645,Obstructed labour due to compound presentation
O648,Obstructed labour due to other malposition and malpresentation
O649,"Obstructed labour due to malposition and malpresentation, unspecified"
O650,Obstructed labour due to deformed pelvis
O651,Obstructed labour due to generally contracted pelvis
O652,Obstructed labour due to pelvic inlet contraction
O653,Obstructed labour due to pelvic outlet and mid-cavity contraction
O654,"Obstructed labour due to fetopelvic disproportion, unspecified"
O655,Obstructed labour due to abnormality of maternal pelvic organs
O658,Obstructed labour due to other maternal pelvic abnormalities
O659,"Obstructed labour due to maternal pelvic abnormality, unspecified"
O660,Obstructed labour due to shoulder dystocia
O661,Obstructed labour due to locked twins
O662,Obstructed labour due to unusually large fetus
O663,Obstructed labour due to other abnormalities of fetus
O664,"Failed trial of labour, unspecified"
O665,"Failed application of vacuum extractor and forceps, unspecified"
O668,Other specified obstructed labour
O669,"Obstructed labour, unspecified"
O670,Intrapartum haemorrhage with coagulation defect
O678,Other intrapartum haemorrhage
O679,"Intrapartum haemorrhage, unspecified"
O680,Labour and delivery complicated by fetal heart rate anomaly
O681,Labour and delivery complicated by meconium in amniotic fluid
O682,Labour and delivery complicated by fetal heart rate anomaly with meconium in amniotic fluid
O683,Labour and delivery complicated by biochemical evidence of fetal stress
O688,Labour and delivery complicated by other evidence of fetal stress
O689,"Labour and delivery complicated by fetal stress, unspecified"
O690,Labour and delivery complicated by prolapse of cord
O691,"Labour and delivery complicated by cord around neck, with compression"
O692,"Labour and delivery complicated by other cord entanglement, with compression"
O693,Labour and delivery complicated by short cord
O694,Labour and delivery complicated by vasa praevia
O695,Labour and delivery complicated by vascular lesion of cord
O698,Labour and delivery complicated by other cord complications
O699,"Labour and delivery complicated by cord complication, unspecified"
O700,First degree perineal laceration during delivery
O701,Second degree perineal laceration during delivery
O702,Third degree perineal laceration during delivery
O703,Fourth degree perineal laceration during delivery
O709,"Perineal laceration during delivery, unspecified"
O710,Rupture of uterus before onset of labour
O711,Rupture of uterus during labour
O712,Postpartum inversion of uterus
O713,Obstetric laceration of cervix
O714,Obstetric high vaginal laceration
O715,Other obstetric injury to pelvic organs
O716,Obstetric damage to pelvic joints and ligaments
O717,Obstetric haematoma of pelvis
O718,Other specified obstetric trauma
O719,"Obstetric trauma, unspecified"
O720,Third-stage haemorrhage
O721,Other immediate postpartum haemorrhage
O722,Delayed and secondary postpartum haemorrhage
O723,Postpartum coagulation defects
O730,Retained placenta without haemorrhage
O731,"Retained portions of placenta and membranes, without haemorrhage"
O740,Aspiration pneumonitis due to anaesthesia during labour and delivery
O741,Other pulmonary complications of anaesthesia during labour and delivery
O742,Cardiac complications of anaesthesia during labour and delivery
O743,Central nervous system complications of anaesthesia during labour and delivery
O744,Toxic reaction to local anaesthesia during labour and delivery
O745,Spinal and epidural anaesthesia-induced headache during labour and delivery
O746,Other complications of spinal and epidural anaesthesia during labour and delivery
O747,Failed or difficult intubation during labour and delivery
O748,Other complications of anaesthesia during labour and delivery
O749,"Complication of anaesthesia during labour and delivery, unspecified"
O750,Maternal distress during labour and delivery
O751,Shock during or following labour and delivery
O752,"Pyrexia during labour, not elsewhere classified"
O753,Other infection during labour
O754,Other complications of obstetric surgery and procedures
O755,Delayed delivery after artificial rupture of membranes
O756,Delayed delivery after spontaneous or unspecified rupture of membranes
O757,Vaginal delivery following previous caesarean section
O758,Other specified complications of labour and delivery
O759,"Complication of labour and delivery, unspecified"
O800,Spontaneous vertex delivery
O801,Spontaneous breech delivery
O808,Other single spontaneous delivery
O809,"Single spontaneous delivery, unspecified"
O810,Low forceps delivery
O811,Mid-cavity forceps delivery
O812,Mid-cavity forceps with rotation
O813,Other and unspecified forceps delivery
O814,Vacuum extractor delivery
O815,Delivery by combination of forceps and vacuum extractor
O820,Delivery by elective caesarean section
O821,Delivery by emergency caesarean section
O822,Delivery by caesarean hysterectomy
O828,Other single delivery by caesarean section
O829,"Delivery by caesarean section, unspecified"
O830,Breech extraction
O831,Other assisted breech delivery
O832,Other manipulation-assisted delivery
O833,Delivery of viable fetus in abdominal pregnancy
O834,Destructive operation for delivery
O838,Other specified assisted single delivery
O839,"Assisted single delivery, unspecified"
O840,"Multiple delivery, all spontaneous"
O841,"Multiple delivery, all by forceps and vacuum extractor"
O842,"Multiple delivery, all by caesarean section"
O848,Other multiple delivery
O849,"Multiple delivery, unspecified"
O85X,Puerperal sepsis
O860,Infection of obstetric surgical wound
O861,Other infection of genital tract following delivery
O862,Urinary tract infection following delivery
O863,Other genitourinary tract infections following delivery
O864,Pyrexia of unknown origin following delivery
O868,Other specified puerperal infections
O870,Superficial thrombophlebitis in the puerperium
O871,Deep phlebothrombosis in the puerperium
O872,Haemorrhoids in the puerperium
O873,Cerebral venous thrombosis in the puerperium
O878,Other venous complications in the puerperium
O879,"Venous complication in the puerperium, unspecified"
O880,Obstetric air embolism
O881,Amniotic fluid embolism
O882,Obstetric blood-clot embolism
O883,Obstetric pyaemic and septic embolism
O888,Other obstetric embolism
O890,Pulmonary complications of anaesthesia during the puerperium
O891,Cardiac complications of anaesthesia during the puerperium
O892,Central nervous system complications of anaesthesia during the puerperium
O893,Toxic reaction to local anaesthesia during the puerperium
O894,Spinal and epidural anaesthesia-induced headache during the puerperium
O895,Other complications of spinal and epidural anaesthesia during the puerperium
O896,Failed or difficult intubation during the puerperium
O898,Other complications of anaesthesia during the puerperium
O899,"Complication of anaesthesia during the puerperium, unspecified"
O900,Disruption of caesarean section wound
O901,Disruption of perineal obstetric wound
O902,Haematoma of obstetric wound
O903,Cardiomyopathy in the puerperium
O904,Postpartum acute renal failure
O905,Postpartum thyroiditis
O908,"Other complications of the puerperium, not elsewhere classified"
O909,"Complication of the puerperium, unspecified"
O910,Infection of nipple associated with childbirth
O911,Abscess of breast associated with childbirth
O912,Nonpurulent mastitis associated with childbirth
O920,Retracted nipple associated with childbirth
O921,Cracked nipple associated with childbirth
O922,Other and unspecified disorders of breast associated with childbirth
O923,Agalactia
O924,Hypogalactia
O925,Suppressed lactation
O926,Galactorrhoea
O927,Other and unspecified disorders of lactation
O94X,"Sequelae of complication of pregnancy, childbirth and the puerperium"
O95X,Obstetric death of unspecified cause
O960,Death from direct obstetric cause occurring more than 42 days but less than one year after delivery
O961,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery
